LAST SEEN   TYPE      REASON                           OBJECT                                                                           MESSAGE
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-61-consumer-7b879f8b4b-lc67x                    Successfully assigned default/bench-kubebuilder-1784137300-61-consumer-7b879f8b4b-lc67x to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-67-consumer-6d8f7c6958-wbnhr                    Successfully assigned default/bench-kubebuilder-1784137300-67-consumer-6d8f7c6958-wbnhr to deluca.pro
17m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-8-consumer-8c8b8b7cb-vbdsz                      Successfully assigned default/bench-kubebuilder-1784137300-8-consumer-8c8b8b7cb-vbdsz to deluca.pro
17m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-25-consumer-6f95948f6b-jtkcc                    Successfully assigned default/bench-kubebuilder-1784137300-25-consumer-6f95948f6b-jtkcc to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-1-consumer-6d49ddf56b-7hft5                     Successfully assigned default/bench-kubebuilder-1784137300-1-consumer-6d49ddf56b-7hft5 to deluca.pro
19m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-8-consumer-8c8b8b7cb-8qjmd                      Successfully assigned default/bench-kubebuilder-1784137300-8-consumer-8c8b8b7cb-8qjmd to deluca.pro
17m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-24-consumer-7d9cd889cd-lf8mw                    Successfully assigned default/bench-kubebuilder-1784137300-24-consumer-7d9cd889cd-lf8mw to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-8-consumer-8c8b8b7cb-6gnhx                      Successfully assigned default/bench-kubebuilder-1784137300-8-consumer-8c8b8b7cb-6gnhx to deluca.pro
17m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-26-consumer-c74b7459d-dhlm9                     Successfully assigned default/bench-kubebuilder-1784137300-26-consumer-c74b7459d-dhlm9 to deluca.pro
20m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-1-consumer-6d49ddf56b-fcz8w                     Successfully assigned default/bench-kubebuilder-1784137300-1-consumer-6d49ddf56b-fcz8w to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-79-consumer-58f8dc786b-drj67                    Successfully assigned default/bench-kubebuilder-1784137300-79-consumer-58f8dc786b-drj67 to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-26-consumer-c74b7459d-r7nq8                     Successfully assigned default/bench-kubebuilder-1784137300-26-consumer-c74b7459d-r7nq8 to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-24-consumer-7d9cd889cd-cjk26                    Successfully assigned default/bench-kubebuilder-1784137300-24-consumer-7d9cd889cd-cjk26 to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-80-consumer-7b78f767c4-q6dqv                    Successfully assigned default/bench-kubebuilder-1784137300-80-consumer-7b78f767c4-q6dqv to deluca.pro
19m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-1-consumer-6d49ddf56b-hvzmh                     Successfully assigned default/bench-kubebuilder-1784137300-1-consumer-6d49ddf56b-hvzmh to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-78-consumer-5b76bcf5db-kjqtn                    Successfully assigned default/bench-kubebuilder-1784137300-78-consumer-5b76bcf5db-kjqtn to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-81-consumer-86d4c97dc8-nqdsh                    Successfully assigned default/bench-kubebuilder-1784137300-81-consumer-86d4c97dc8-nqdsh to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-77-consumer-68744f5798-8jj8d                    Successfully assigned default/bench-kubebuilder-1784137300-77-consumer-68744f5798-8jj8d to deluca.pro
17m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-41-consumer-6b75ccb98b-fxrbm                    Successfully assigned default/bench-kubebuilder-1784137300-41-consumer-6b75ccb98b-fxrbm to deluca.pro
17m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-1-consumer-6d49ddf56b-jklqv                     Successfully assigned default/bench-kubebuilder-1784137300-1-consumer-6d49ddf56b-jklqv to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-40-consumer-55888c87b6-tqv9c                    Successfully assigned default/bench-kubebuilder-1784137300-40-consumer-55888c87b6-tqv9c to deluca.pro
17m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-40-consumer-55888c87b6-9rl95                    Successfully assigned default/bench-kubebuilder-1784137300-40-consumer-55888c87b6-9rl95 to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-82-consumer-598cdd68b-kmz8p                     Successfully assigned default/bench-kubebuilder-1784137300-82-consumer-598cdd68b-kmz8p to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-76-consumer-58d54bfb54-cl2zf                    Successfully assigned default/bench-kubebuilder-1784137300-76-consumer-58d54bfb54-cl2zf to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-75-consumer-85d998c894-lkvf5                    Successfully assigned default/bench-kubebuilder-1784137300-75-consumer-85d998c894-lkvf5 to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-74-consumer-7696fd96f4-8h7qx                    Successfully assigned default/bench-kubebuilder-1784137300-74-consumer-7696fd96f4-8h7qx to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-41-consumer-6b75ccb98b-qrtn8                    Successfully assigned default/bench-kubebuilder-1784137300-41-consumer-6b75ccb98b-qrtn8 to deluca.pro
17m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-23-consumer-6f5dfcb45d-s54xn                    Successfully assigned default/bench-kubebuilder-1784137300-23-consumer-6f5dfcb45d-s54xn to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-83-consumer-68bb5779f4-nm49d                    Successfully assigned default/bench-kubebuilder-1784137300-83-consumer-68bb5779f4-nm49d to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-84-consumer-69fc4548d6-fmbl7                    Successfully assigned default/bench-kubebuilder-1784137300-84-consumer-69fc4548d6-fmbl7 to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-85-consumer-7c9b45f6bb-4hw7g                    Successfully assigned default/bench-kubebuilder-1784137300-85-consumer-7c9b45f6bb-4hw7g to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-86-consumer-58f47d5cf4-h2qcs                    Successfully assigned default/bench-kubebuilder-1784137300-86-consumer-58f47d5cf4-h2qcs to deluca.pro
19m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-10-consumer-5fc4b8578b-hcm6t                    Successfully assigned default/bench-kubebuilder-1784137300-10-consumer-5fc4b8578b-hcm6t to deluca.pro
17m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-4-consumer-56f74c95cb-v5jt5                     Successfully assigned default/bench-kubebuilder-1784137300-4-consumer-56f74c95cb-v5jt5 to deluca.pro
