timestamp,mode,framework,n_resources,component,cpu_millicores,mem_mib
2026-07-15T18:04:07+00:00,at-rest,all,0,crossplane-core,3,61
2026-07-15T18:04:08+00:00,at-rest,all,0,provider-kafka,2,60
2026-07-15T18:04:08+00:00,at-rest,all,0,provider-kubernetes,2,58
2026-07-15T18:04:08+00:00,at-rest,all,0,function-patch-and-transform,1,39
2026-07-15T18:04:09+00:00,at-rest,all,0,kubebuilder-controller,0,51.6
2026-07-15T18:04:15+00:00,at-rest,all,0,crossplane-core,3,61
2026-07-15T18:04:15+00:00,at-rest,all,0,provider-kafka,2,60
2026-07-15T18:04:15+00:00,at-rest,all,0,provider-kubernetes,2,58
2026-07-15T18:04:16+00:00,at-rest,all,0,function-patch-and-transform,1,39
2026-07-15T18:04:16+00:00,at-rest,all,0,kubebuilder-controller,0,51.6
2026-07-15T18:04:22+00:00,at-rest,all,0,crossplane-core,3,61
2026-07-15T18:04:22+00:00,at-rest,all,0,provider-kafka,2,60
2026-07-15T18:04:23+00:00,at-rest,all,0,provider-kubernetes,2,58
2026-07-15T18:04:23+00:00,at-rest,all,0,function-patch-and-transform,0,39
2026-07-15T18:04:23+00:00,at-rest,all,0,kubebuilder-controller,0,51.6
2026-07-15T18:04:29+00:00,at-rest,all,0,crossplane-core,3,61
2026-07-15T18:04:30+00:00,at-rest,all,0,provider-kafka,2,60
2026-07-15T18:04:30+00:00,at-rest,all,0,provider-kubernetes,2,58
2026-07-15T18:04:30+00:00,at-rest,all,0,function-patch-and-transform,0,39
2026-07-15T18:04:31+00:00,at-rest,all,0,kubebuilder-controller,0,51.6
2026-07-15T18:04:37+00:00,at-rest,all,0,crossplane-core,3,61
2026-07-15T18:04:37+00:00,at-rest,all,0,provider-kafka,3,60
2026-07-15T18:04:37+00:00,at-rest,all,0,provider-kubernetes,3,58
2026-07-15T18:04:38+00:00,at-rest,all,0,function-patch-and-transform,0,39
2026-07-15T18:04:38+00:00,at-rest,all,0,kubebuilder-controller,0,51.6
2026-07-15T18:04:44+00:00,at-rest,all,0,crossplane-core,3,61
2026-07-15T18:04:45+00:00,at-rest,all,0,provider-kafka,3,60
2026-07-15T18:04:45+00:00,at-rest,all,0,provider-kubernetes,3,58
2026-07-15T18:04:45+00:00,at-rest,all,0,function-patch-and-transform,0,39
2026-07-15T18:04:46+00:00,at-rest,all,0,kubebuilder-controller,0,51.6
2026-07-15T18:04:52+00:00,at-rest,all,0,crossplane-core,2,61
2026-07-15T18:04:52+00:00,at-rest,all,0,provider-kafka,2,60
2026-07-15T18:04:52+00:00,at-rest,all,0,provider-kubernetes,2,58
2026-07-15T18:04:53+00:00,at-rest,all,0,function-patch-and-transform,0,39
2026-07-15T18:04:53+00:00,at-rest,all,0,kubebuilder-controller,0,51.6
2026-07-15T18:04:59+00:00,at-rest,all,0,crossplane-core,2,61
2026-07-15T18:04:59+00:00,at-rest,all,0,provider-kafka,2,60
2026-07-15T18:05:00+00:00,at-rest,all,0,provider-kubernetes,2,58
2026-07-15T18:05:00+00:00,at-rest,all,0,function-patch-and-transform,0,39
