timestamp,mode,framework,n_resources,component,cpu_millicores,mem_mib
2026-07-16T02:53:23+00:00,at-rest,all,0,crossplane-core,3,762
2026-07-16T02:53:24+00:00,at-rest,all,0,provider-kafka,2,119
2026-07-16T02:53:24+00:00,at-rest,all,0,provider-kubernetes,1,170
2026-07-16T02:53:25+00:00,at-rest,all,0,function-patch-and-transform,0,40
2026-07-16T02:53:25+00:00,at-rest,all,0,kubebuilder-controller,0,46.0
2026-07-16T02:53:31+00:00,at-rest,all,0,crossplane-core,3,762
2026-07-16T02:53:31+00:00,at-rest,all,0,provider-kafka,2,119
2026-07-16T02:53:32+00:00,at-rest,all,0,provider-kubernetes,2,170
2026-07-16T02:53:32+00:00,at-rest,all,0,function-patch-and-transform,0,40
2026-07-16T02:53:33+00:00,at-rest,all,0,kubebuilder-controller,0,46.0
2026-07-16T02:53:39+00:00,at-rest,all,0,crossplane-core,7,762
2026-07-16T02:53:39+00:00,at-rest,all,0,provider-kafka,2,119
2026-07-16T02:53:39+00:00,at-rest,all,0,provider-kubernetes,2,170
2026-07-16T02:53:40+00:00,at-rest,all,0,function-patch-and-transform,0,40
2026-07-16T02:53:40+00:00,at-rest,all,0,kubebuilder-controller,0,46.0
2026-07-16T02:53:46+00:00,at-rest,all,0,crossplane-core,7,762
2026-07-16T02:53:46+00:00,at-rest,all,0,provider-kafka,2,119
2026-07-16T02:53:47+00:00,at-rest,all,0,provider-kubernetes,2,170
2026-07-16T02:53:47+00:00,at-rest,all,0,function-patch-and-transform,1,40
2026-07-16T02:53:47+00:00,at-rest,all,0,kubebuilder-controller,10,46.0
2026-07-16T02:53:53+00:00,at-rest,all,0,crossplane-core,3,762
2026-07-16T02:53:54+00:00,at-rest,all,0,provider-kafka,2,119
2026-07-16T02:53:54+00:00,at-rest,all,0,provider-kubernetes,2,170
2026-07-16T02:53:54+00:00,at-rest,all,0,function-patch-and-transform,1,40
2026-07-16T02:53:55+00:00,at-rest,all,0,kubebuilder-controller,0,46.0
2026-07-16T02:54:01+00:00,at-rest,all,0,crossplane-core,3,762
2026-07-16T02:54:01+00:00,at-rest,all,0,provider-kafka,2,119
2026-07-16T02:54:02+00:00,at-rest,all,0,provider-kubernetes,2,170
2026-07-16T02:54:02+00:00,at-rest,all,0,function-patch-and-transform,0,40
2026-07-16T02:54:02+00:00,at-rest,all,0,kubebuilder-controller,0,46.0
2026-07-16T02:54:08+00:00,at-rest,all,0,crossplane-core,2,762
2026-07-16T02:54:09+00:00,at-rest,all,0,provider-kafka,2,119
2026-07-16T02:54:09+00:00,at-rest,all,0,provider-kubernetes,2,170
2026-07-16T02:54:09+00:00,at-rest,all,0,function-patch-and-transform,0,40
2026-07-16T02:54:10+00:00,at-rest,all,0,kubebuilder-controller,0,46.0
2026-07-16T02:54:16+00:00,at-rest,all,0,crossplane-core,2,762
2026-07-16T02:54:16+00:00,at-rest,all,0,provider-kafka,2,119
2026-07-16T02:54:16+00:00,at-rest,all,0,provider-kubernetes,2,170
2026-07-16T02:54:17+00:00,at-rest,all,0,function-patch-and-transform,0,40
2026-07-16T02:54:17+00:00,at-rest,all,0,kubebuilder-controller,0,46.0
2026-07-16T02:54:23+00:00,at-rest,all,0,crossplane-core,3,762
2026-07-16T02:54:23+00:00,at-rest,all,0,provider-kafka,2,119
2026-07-16T02:54:24+00:00,at-rest,all,0,provider-kubernetes,2,170
2026-07-16T02:54:24+00:00,at-rest,all,0,function-patch-and-transform,0,40
2026-07-16T02:54:24+00:00,at-rest,all,0,kubebuilder-controller,0,46.0
2026-07-16T02:54:30+00:00,at-rest,all,0,crossplane-core,3,762
2026-07-16T02:54:31+00:00,at-rest,all,0,provider-kafka,2,119
2026-07-16T02:54:31+00:00,at-rest,all,0,provider-kubernetes,2,170
2026-07-16T02:54:31+00:00,at-rest,all,0,function-patch-and-transform,0,40
2026-07-16T02:54:32+00:00,at-rest,all,0,kubebuilder-controller,0,46.1
2026-07-16T02:54:38+00:00,at-rest,all,0,crossplane-core,3,762
2026-07-16T02:54:38+00:00,at-rest,all,0,provider-kafka,2,119
2026-07-16T02:54:38+00:00,at-rest,all,0,provider-kubernetes,3,170
2026-07-16T02:54:39+00:00,at-rest,all,0,function-patch-and-transform,0,40
2026-07-16T02:54:39+00:00,at-rest,all,0,kubebuilder-controller,0,46.1
2026-07-16T02:54:45+00:00,at-rest,all,0,crossplane-core,3,762
2026-07-16T02:54:45+00:00,at-rest,all,0,provider-kafka,2,119
2026-07-16T02:54:46+00:00,at-rest,all,0,provider-kubernetes,3,170
2026-07-16T02:54:46+00:00,at-rest,all,0,function-patch-and-transform,0,40
2026-07-16T02:54:46+00:00,at-rest,all,0,kubebuilder-controller,0,46.1
