timestamp,mode,framework,n_resources,component,cpu_millicores,mem_mib
2026-07-15T19:11:37+00:00,at-rest,all,0,crossplane-core,3,187
2026-07-15T19:11:38+00:00,at-rest,all,0,provider-kafka,2,71
2026-07-15T19:11:38+00:00,at-rest,all,0,provider-kubernetes,2,74
2026-07-15T19:11:38+00:00,at-rest,all,0,function-patch-and-transform,1,52
2026-07-15T19:11:39+00:00,at-rest,all,0,kubebuilder-controller,0,51.5
2026-07-15T19:11:45+00:00,at-rest,all,0,crossplane-core,3,187
2026-07-15T19:11:45+00:00,at-rest,all,0,provider-kafka,2,71
2026-07-15T19:11:45+00:00,at-rest,all,0,provider-kubernetes,2,74
2026-07-15T19:11:46+00:00,at-rest,all,0,function-patch-and-transform,1,52
2026-07-15T19:11:46+00:00,at-rest,all,0,kubebuilder-controller,0,51.5
2026-07-15T19:11:52+00:00,at-rest,all,0,crossplane-core,3,187
2026-07-15T19:11:52+00:00,at-rest,all,0,provider-kafka,2,71
2026-07-15T19:11:53+00:00,at-rest,all,0,provider-kubernetes,2,74
2026-07-15T19:11:53+00:00,at-rest,all,0,function-patch-and-transform,1,52
2026-07-15T19:11:53+00:00,at-rest,all,0,kubebuilder-controller,0,51.5
2026-07-15T19:11:59+00:00,at-rest,all,0,crossplane-core,3,187
2026-07-15T19:12:00+00:00,at-rest,all,0,provider-kafka,2,71
2026-07-15T19:12:00+00:00,at-rest,all,0,provider-kubernetes,2,74
2026-07-15T19:12:00+00:00,at-rest,all,0,function-patch-and-transform,1,52
2026-07-15T19:12:01+00:00,at-rest,all,0,kubebuilder-controller,0,51.5
2026-07-15T19:12:07+00:00,at-rest,all,0,crossplane-core,3,187
2026-07-15T19:12:07+00:00,at-rest,all,0,provider-kafka,2,71
2026-07-15T19:12:08+00:00,at-rest,all,0,provider-kubernetes,2,74
2026-07-15T19:12:08+00:00,at-rest,all,0,function-patch-and-transform,0,52
2026-07-15T19:12:08+00:00,at-rest,all,0,kubebuilder-controller,0,51.5
2026-07-15T19:12:14+00:00,at-rest,all,0,crossplane-core,3,187
2026-07-15T19:12:15+00:00,at-rest,all,0,provider-kafka,2,71
2026-07-15T19:12:15+00:00,at-rest,all,0,provider-kubernetes,2,74
2026-07-15T19:12:15+00:00,at-rest,all,0,function-patch-and-transform,0,52
2026-07-15T19:12:16+00:00,at-rest,all,0,kubebuilder-controller,0,51.5
2026-07-15T19:12:22+00:00,at-rest,all,0,crossplane-core,6,187
2026-07-15T19:12:22+00:00,at-rest,all,0,provider-kafka,2,71
2026-07-15T19:12:22+00:00,at-rest,all,0,provider-kubernetes,2,74
2026-07-15T19:12:23+00:00,at-rest,all,0,function-patch-and-transform,1,52
2026-07-15T19:12:23+00:00,at-rest,all,0,kubebuilder-controller,0,51.5
2026-07-15T19:12:29+00:00,at-rest,all,0,crossplane-core,6,187
2026-07-15T19:12:29+00:00,at-rest,all,0,provider-kafka,2,71
2026-07-15T19:12:30+00:00,at-rest,all,0,provider-kubernetes,2,74
2026-07-15T19:12:30+00:00,at-rest,all,0,function-patch-and-transform,1,52
2026-07-15T19:12:30+00:00,at-rest,all,0,kubebuilder-controller,0,51.5
2026-07-15T19:12:36+00:00,at-rest,all,0,crossplane-core,3,187
2026-07-15T19:12:37+00:00,at-rest,all,0,provider-kafka,2,71
2026-07-15T19:12:37+00:00,at-rest,all,0,provider-kubernetes,2,74
2026-07-15T19:12:37+00:00,at-rest,all,0,function-patch-and-transform,0,52
2026-07-15T19:12:38+00:00,at-rest,all,0,kubebuilder-controller,0,51.5
2026-07-15T19:12:44+00:00,at-rest,all,0,crossplane-core,3,187
2026-07-15T19:12:44+00:00,at-rest,all,0,provider-kafka,2,71
2026-07-15T19:12:44+00:00,at-rest,all,0,provider-kubernetes,2,74
2026-07-15T19:12:45+00:00,at-rest,all,0,function-patch-and-transform,0,52
2026-07-15T19:12:45+00:00,at-rest,all,0,kubebuilder-controller,0,51.5
2026-07-15T19:12:51+00:00,at-rest,all,0,crossplane-core,3,187
2026-07-15T19:12:51+00:00,at-rest,all,0,provider-kafka,3,71
2026-07-15T19:12:52+00:00,at-rest,all,0,provider-kubernetes,3,74
2026-07-15T19:12:52+00:00,at-rest,all,0,function-patch-and-transform,0,52
2026-07-15T19:12:52+00:00,at-rest,all,0,kubebuilder-controller,0,51.5
2026-07-15T19:12:58+00:00,at-rest,all,0,crossplane-core,3,187
2026-07-15T19:12:59+00:00,at-rest,all,0,provider-kafka,3,71
2026-07-15T19:12:59+00:00,at-rest,all,0,provider-kubernetes,3,74
2026-07-15T19:12:59+00:00,at-rest,all,0,function-patch-and-transform,0,52
2026-07-15T19:13:00+00:00,at-rest,all,0,kubebuilder-controller,0,51.5
2026-07-15T19:13:06+00:00,scale-burst,crossplane,1,crossplane-core,2,187
2026-07-15T19:13:07+00:00,scale-burst,crossplane,1,provider-kafka,2,71
2026-07-15T19:13:07+00:00,scale-burst,crossplane,1,provider-kubernetes,2,74
2026-07-15T19:13:08+00:00,scale-burst,crossplane,1,function-patch-and-transform,0,52
2026-07-15T19:13:13+00:00,scale-burst,crossplane,1,crossplane-core,2,187
2026-07-15T19:13:13+00:00,scale-burst,crossplane,1,provider-kafka,2,71
2026-07-15T19:13:14+00:00,scale-burst,crossplane,1,provider-kubernetes,2,74
2026-07-15T19:13:14+00:00,scale-burst,crossplane,1,function-patch-and-transform,0,52
2026-07-15T19:13:28+00:00,scale,crossplane,1,crossplane-core,15,187
2026-07-15T19:13:28+00:00,scale,crossplane,1,provider-kafka,3,71
2026-07-15T19:13:29+00:00,scale,crossplane,1,provider-kubernetes,5,74
2026-07-15T19:13:29+00:00,scale,crossplane,1,function-patch-and-transform,4,52
2026-07-15T19:13:34+00:00,scale,crossplane,1,crossplane-core,3,187
2026-07-15T19:13:35+00:00,scale,crossplane,1,provider-kafka,2,71
2026-07-15T19:13:35+00:00,scale,crossplane,1,provider-kubernetes,3,74
2026-07-15T19:13:35+00:00,scale,crossplane,1,function-patch-and-transform,1,52
2026-07-15T19:13:41+00:00,scale,crossplane,1,crossplane-core,3,187
2026-07-15T19:13:41+00:00,scale,crossplane,1,provider-kafka,2,71
2026-07-15T19:13:41+00:00,scale,crossplane,1,provider-kubernetes,3,74
2026-07-15T19:13:42+00:00,scale,crossplane,1,function-patch-and-transform,1,52
2026-07-15T19:13:47+00:00,scale,crossplane,1,crossplane-core,3,187
2026-07-15T19:13:47+00:00,scale,crossplane,1,provider-kafka,2,71
2026-07-15T19:13:48+00:00,scale,crossplane,1,provider-kubernetes,2,74
2026-07-15T19:13:48+00:00,scale,crossplane,1,function-patch-and-transform,0,52
2026-07-15T19:13:53+00:00,scale,crossplane,1,crossplane-core,3,187
2026-07-15T19:13:54+00:00,scale,crossplane,1,provider-kafka,2,71
2026-07-15T19:13:54+00:00,scale,crossplane,1,provider-kubernetes,2,74
2026-07-15T19:13:54+00:00,scale,crossplane,1,function-patch-and-transform,0,52
2026-07-15T19:14:00+00:00,scale,crossplane,1,crossplane-core,3,187
2026-07-15T19:14:00+00:00,scale,crossplane,1,provider-kafka,2,71
2026-07-15T19:14:01+00:00,scale,crossplane,1,provider-kubernetes,2,74
2026-07-15T19:14:01+00:00,scale,crossplane,1,function-patch-and-transform,0,52
2026-07-15T19:14:06+00:00,scale,crossplane,1,crossplane-core,3,187
2026-07-15T19:14:07+00:00,scale,crossplane,1,provider-kafka,2,71
2026-07-15T19:14:07+00:00,scale,crossplane,1,provider-kubernetes,2,74
2026-07-15T19:14:07+00:00,scale,crossplane,1,function-patch-and-transform,0,52
2026-07-15T19:14:13+00:00,scale,crossplane,1,crossplane-core,3,187
2026-07-15T19:14:13+00:00,scale,crossplane,1,provider-kafka,2,71
2026-07-15T19:14:13+00:00,scale,crossplane,1,provider-kubernetes,2,74
2026-07-15T19:14:14+00:00,scale,crossplane,1,function-patch-and-transform,0,52
2026-07-15T19:14:19+00:00,scale,crossplane,1,crossplane-core,3,187
2026-07-15T19:14:19+00:00,scale,crossplane,1,provider-kafka,2,71
2026-07-15T19:14:20+00:00,scale,crossplane,1,provider-kubernetes,2,74
2026-07-15T19:14:20+00:00,scale,crossplane,1,function-patch-and-transform,0,52
2026-07-15T19:14:25+00:00,scale,crossplane,1,crossplane-core,3,187
2026-07-15T19:14:26+00:00,scale,crossplane,1,provider-kafka,2,71
2026-07-15T19:14:26+00:00,scale,crossplane,1,provider-kubernetes,2,74
2026-07-15T19:14:26+00:00,scale,crossplane,1,function-patch-and-transform,0,52
2026-07-15T19:14:32+00:00,scale,crossplane,1,crossplane-core,3,187
2026-07-15T19:14:32+00:00,scale,crossplane,1,provider-kafka,2,71
